student_program_id,student_id,program_id,program_status,program_start,grad_date,program_end
198,3970,1,Transferred,08/13/12,,
199,3979,1,Graduated,01/18/10,06/16/12,05/22/12
200,4005,1,Graduated,08/13/12,02/07/15,07/25/14
201,4024,1,Graduated,08/15/11,06/15/13,05/13/13
202,4042,1,Graduated,08/15/11,06/15/13,05/13/13
203,4059,1,Graduated,08/15/11,06/15/13,05/13/13
204,4080,1,Graduated,08/15/11,01/25/14,07/19/13
205,4103,1,Terminated,08/17/09,,
206,4111,1,Terminated,08/17/09,,
207,4114,1,Graduated,08/17/09,06/15/13,05/13/13
208,4142,1,Graduated,08/17/09,01/25/14,12/09/13
209,4181,1,Graduated,08/17/09,01/26/13,12/12/11
210,4205,1,Graduated,08/17/15,06/16/18,12/04/17
211,4222,1,Terminated,08/15/16,,
212,4243,1,Terminated,08/17/09,,
213,4275,1,Graduated,08/18/13,06/13/15,05/18/15
214,4292,1,Terminated,08/01/18,,
215,4306,1,Graduated,08/15/11,06/15/13,05/13/13
216,4326,1,Terminated,08/17/09,,
217,4331,1,Graduated,04/09/14,06/11/16,05/16/16
218,4350,1,Graduated,08/15/11,06/15/13,05/13/13
219,4368,1,Terminated,08/17/09,,
220,4396,1,Graduated,08/13/12,06/13/15,05/18/15
221,4414,1,Graduated,08/17/09,06/18/11,05/24/11
222,4441,1,Terminated,08/01/18,,
223,4443,1,Graduated,08/17/09,01/26/13,07/20/12
224,4472,1,Terminated,01/18/16,,
225,4484,1,Dropped,01/18/10,,
